n,augs,epsilon,accuracy
1,flr,0.1,0.6948
1,flr,0.2,0.6169333333333333
1,flr,0.5,0.4788
1,flr,1,0.33186666666666664
1,flr,3,0.13746666666666665
2,flr,0,0.9177333333333333
2,flr,0.01,0.8630666666666666
2,flr,0.05,0.776
2,flr,0.1,0.7036
2,flr,0.2,0.6232
2,flr,0.5,0.4846666666666667
2,flr,1,0.3354666666666667
2,flr,3,0.14106666666666667
5,flr,0,0.9169333333333334
5,flr,0.01,0.864
5,flr,0.05,0.7738666666666667
5,flr,0.1,0.7001333333333334
5,flr,0.2,0.6242666666666666
5,flr,0.5,0.4872
5,flr,1,0.33586666666666665
5,flr,3,0.14173333333333332
10,flr,0,0.9204
10,flr,0.01,0.8610666666666666
10,flr,0.05,0.7736
10,flr,0.1,0.7029333333333333
10,flr,0.2,0.6293333333333333
10,flr,0.5,0.49493333333333334
10,flr,1,0.3389333333333333
10,flr,3,0.14493333333333333
1,bra,0,0.9062666666666667
1,bra,0.01,0.8413333333333334
1,bra,0.05,0.7416
1,bra,0.1,0.6638666666666667
1,bra,0.2,0.5933333333333334
1,bra,0.5,0.46613333333333334
1,bra,1,0.3221333333333333
1,bra,3,0.14053333333333334
2,bra,0,0.9142666666666667
2,bra,0.01,0.8454666666666667
2,bra,0.05,0.742
2,bra,0.1,0.6668
2,bra,0.2,0.5962666666666666
2,bra,0.5,0.4690666666666667
2,bra,1,0.33053333333333335
2,bra,3,0.1416
5,bra,0,0.9149333333333334
5,bra,0.01,0.8454666666666667
5,bra,0.05,0.7426666666666667
5,bra,0.1,0.6677333333333333
5,bra,0.2,0.5976
5,bra,0.5,0.474
5,bra,1,0.33066666666666666
5,bra,3,0.1404
10,bra,0,0.9170666666666667
10,bra,0.01,0.8444
10,bra,0.05,0.7441333333333333
10,bra,0.1,0.6664
10,bra,0.2,0.5957333333333333
10,bra,0.5,0.4730666666666667
10,bra,1,0.3348
10,bra,3,0.14386666666666667
1,r-flr-bra,0,0.9073333333333333
1,r-flr-bra,0.01,0.8526666666666667
1,r-flr-bra,0.05,0.7625333333333333
1,r-flr-bra,0.1,0.6869333333333333
1,r-flr-bra,0.2,0.6173333333333333
1,r-flr-bra,0.5,0.4772
1,r-flr-bra,1,0.3372
1,r-flr-bra,3,0.14066666666666666
2,r-flr-bra,0,0.9130666666666667
2,r-flr-bra,0.01,0.8576
2,r-flr-bra,0.05,0.7672
2,r-flr-bra,0.1,0.6909333333333333
2,r-flr-bra,0.2,0.6225333333333334
2,r-flr-bra,0.5,0.49146666666666666
2,r-flr-bra,1,0.3436
2,r-flr-bra,3,0.14653333333333332
