,augments,n,epsilon,accuracy,ece,figure
122,"g,r,flr,bra",2,0.2,0.4448,tensor(0.3985),Figure(324x288)
123,"g,r,flr,bra",2,0.3,0.344,tensor(0.4369),Figure(324x288)
124,"g,r,flr,bra",5,0.0,0.9369333333333333,tensor(0.1743),Figure(324x288)
125,"g,r,flr,bra",5,0.1,0.5773333333333334,tensor(0.2595),Figure(324x288)
126,"g,r,flr,bra",5,0.2,0.4514666666666667,tensor(0.2924),Figure(324x288)
127,"g,r,flr,bra",5,0.3,0.3529333333333333,tensor(0.3327),Figure(324x288)
128,"g,r,flr,bra",10,0.0,0.9438666666666666,tensor(0.2302),Figure(324x288)
129,"g,r,flr,bra",10,0.1,0.5757333333333333,tensor(0.1933),Figure(324x288)
130,"g,r,flr,bra",10,0.2,0.45853333333333335,tensor(0.2301),Figure(324x288)
131,"g,r,flr,bra",10,0.3,0.3582666666666667,tensor(0.2482),Figure(324x288)
132,"g,r,flr,bra",20,0.0,0.9445333333333333,tensor(0.2434),Figure(324x288)
133,"g,r,flr,bra",20,0.1,0.5782666666666667,tensor(0.1493),Figure(324x288)
134,"g,r,flr,bra",20,0.2,0.45413333333333333,tensor(0.1976),Figure(324x288)
135,"g,r,flr,bra",20,0.3,0.3528,tensor(0.2321),Figure(324x288)
136,"g,r,flr,bra",40,0.0,0.9436,tensor(0.2499),Figure(324x288)
137,"g,r,flr,bra",40,0.1,0.5768,tensor(0.1268),Figure(324x288)
138,"g,r,flr,bra",40,0.2,0.4576,tensor(0.1740),Figure(324x288)
139,"g,r,flr,bra",40,0.3,0.35573333333333335,tensor(0.2100),Figure(324x288)
